9a9db3b61138d84c3c203d7df9e27084,Betfair,h2h,Brooklyn Nets,1.36
9a9db3b61138d84c3c203d7df9e27084,Betfair,h2h,New Orleans Pelicans,3.6
9a9db3b61138d84c3c203d7df9e27084,Betfair,h2h_lay,Brooklyn Nets,1.38
9a9db3b61138d84c3c203d7df9e27084,Betfair,h2h_lay,New Orleans Pelicans,3.8
9a9db3b61138d84c3c203d7df9e27084,Nordic Bet,h2h,Brooklyn Nets,1.32
9a9db3b61138d84c3c203d7df9e27084,Nordic Bet,h2h,New Orleans Pelicans,3.4
9a9db3b61138d84c3c203d7df9e27084,William Hill,h2h,Brooklyn Nets,1.34
9a9db3b61138d84c3c203d7df9e27084,William Hill,h2h,New Orleans Pelicans,3.45
ccbc48fcd51df70102a32c2cca5b602c,Unibet,h2h,Cleveland Cavaliers,1.45
ccbc48fcd51df70102a32c2cca5b602c,Unibet,h2h,Oklahoma City Thunder,2.85
ccbc48fcd51df70102a32c2cca5b602c,888sport,h2h,Cleveland Cavaliers,1.45
ccbc48fcd51df70102a32c2cca5b602c,888sport,h2h,Oklahoma City Thunder,2.85
ccbc48fcd51df70102a32c2cca5b602c,Betfair,h2h,Cleveland Cavaliers,1.5
ccbc48fcd51df70102a32c2cca5b602c,Betfair,h2h,Oklahoma City Thunder,2.82
ccbc48fcd51df70102a32c2cca5b602c,Betfair,h2h_lay,Cleveland Cavaliers,1.55
ccbc48fcd51df70102a32c2cca5b602c,Betfair,h2h_lay,Oklahoma City Thunder,3.0
ccbc48fcd51df70102a32c2cca5b602c,Marathon Bet,h2h,Cleveland Cavaliers,1.48
ccbc48fcd51df70102a32c2cca5b602c,Marathon Bet,h2h,Oklahoma City Thunder,2.85
ccbc48fcd51df70102a32c2cca5b602c,Matchbook,h2h,Cleveland Cavaliers,1.48
ccbc48fcd51df70102a32c2cca5b602c,Matchbook,h2h,Oklahoma City Thunder,2.78
ccbc48fcd51df70102a32c2cca5b602c,Matchbook,h2h_lay,Cleveland Cavaliers,1.56
ccbc48fcd51df70102a32c2cca5b602c,Matchbook,h2h_lay,Oklahoma City Thunder,3.05
ccbc48fcd51df70102a32c2cca5b602c,Nordic Bet,h2h,Cleveland Cavaliers,1.45
ccbc48fcd51df70102a32c2cca5b602c,Nordic Bet,h2h,Oklahoma City Thunder,2.75
ccbc48fcd51df70102a32c2cca5b602c,William Hill,h2h,Cleveland Cavaliers,1.5
ccbc48fcd51df70102a32c2cca5b602c,William Hill,h2h,Oklahoma City Thunder,2.75
6b88245940b8fa65068fbe51198c9492,Unibet,h2h,Miami Heat,1.78
6b88245940b8fa65068fbe51198c9492,Unibet,h2h,Philadelphia 76ers,2.08
6b88245940b8fa65068fbe51198c9492,888sport,h2h,Miami Heat,1.78
6b88245940b8fa65068fbe51198c9492,888sport,h2h,Philadelphia 76ers,2.08
6b88245940b8fa65068fbe51198c9492,Betfair,h2h,Miami Heat,1.79
6b88245940b8fa65068fbe51198c9492,Betfair,h2h,Philadelphia 76ers,2.2
6b88245940b8fa65068fbe51198c9492,Betfair,h2h_lay,Miami Heat,1.83
6b88245940b8fa65068fbe51198c9492,Betfair,h2h_lay,Philadelphia 76ers,2.38
6b88245940b8fa65068fbe51198c9492,Matchbook,h2h,Miami Heat,1.74
6b88245940b8fa65068fbe51198c9492,Matchbook,h2h,Philadelphia 76ers,2.06
6b88245940b8fa65068fbe51198c9492,Matchbook,h2h_lay,Miami Heat,1.95
6b88245940b8fa65068fbe51198c9492,Matchbook,h2h_lay,Philadelphia 76ers,2.36
6b88245940b8fa65068fbe51198c9492,Marathon Bet,h2h,Miami Heat,1.8
6b88245940b8fa65068fbe51198c9492,Marathon Bet,h2h,Philadelphia 76ers,2.23
6b88245940b8fa65068fbe51198c9492,Nordic Bet,h2h,Miami Heat,1.74
6b88245940b8fa65068fbe51198c9492,Nordic Bet,h2h,Philadelphia 76ers,2.15
6b88245940b8fa65068fbe51198c9492,William Hill,h2h,Miami Heat,1.74
6b88245940b8fa65068fbe51198c9492,William Hill,h2h,Philadelphia 76ers,2.15
54c5b0d6e6e1f51534d7a6a2b1a74eae,Unibet,h2h,Boston Celtics,1.52
54c5b0d6e6e1f51534d7a6a2b1a74eae,Unibet,h2h,Chicago Bulls,2.6
54c5b0d6e6e1f51534d7a6a2b1a74eae,888sport,h2h,Boston Celtics,1.52
54c5b0d6e6e1f51534d7a6a2b1a74eae,888sport,h2h,Chicago Bulls,2.6
